rank,team,points
1,Germany,
2,Brazil,
3,Belgium,
4,Portugal,
5,Argentina,
6,Switzerland,
7,France,
8,Spain,
9,Chile,
10,Poland,
11,Peru,
12,Denmark,
13,England,
14,Tunisia,
15,Mexico,
16,Colombia,
17,Uruguay,
18,Croatia,
19,The Netherlands,
20,Italy,
21,Wales,
22,Iceland,
23,Sweden,
24,USA,
25,Costa Rica,
26,Austria,
27,Northern Ireland,
28,Senegal,
29,Slovakia,
30,Ukraine,
31,Republic of Ireland,
32,Romania,
32,Paraguay,
34,Scotland,
35,Serbia,
36,Iran,
37,Turkey,
38,Congo DR,
39,Venezuela,
40,Australia,
41,Bosnia-Herzegovina,
42,Morocco,
43,Montenegro,
44,Greece,
45,Czech Republic,
46,Egypt,
47,Nigeria,
48,Norway,
49,Hungary,
50,Cameroon,
50,Ghana,
52,Jamaica,
53,Bulgaria,
54,Burkina Faso,
55,Panama,
56,Albania,
57,Bolivia,
58,Cape Verde Islands,
59,Honduras,
60,Japan,
61,Korea Republic,
62,Finland,
63,Ecuador,
64,Algeria,
65,Slovenia,
66,Russia,
67,Mali,
67,Saudi Arabia,
69,Côte d'Ivoire,
70,Guinea,
71,Curacao (formerly Netherlands Antilles),
72,South Africa,
73,China,
74,Uganda,
75,Kyrgyz Republic,
76,Syria,
77,FYR Macedonia,
78,Zambia,
79,Belarus,
80,Canada,
81,United Arab Emirates,
82,Lebanon,
83,Luxembourg,
84,Benin,
85,El Salvador,
86,Cyprus,
87,Oman,
88,Uzbekistan,
89,Congo,
90,Gabon,
91,Iraq,
92,Trinidad & Tobago,
93,Estonia,
93,Faroe Islands,
95,Georgia,
96,Palestine,
97,India,
98,Armenia,
98,Israel,
100,Libya,
101,Qatar,
102,Vietnam,
103,Sierra Leone,
104,Guinea-Bissau,
105,Mauritania,
106,Mozambique,
107,Namibia,
108,Haiti,
109,Niger,
110,Korea DPR,
111,Philippines,
111,Kenya,
113,Zimbabwe,
114,Madagascar,
115,Central African Republic,
116,Bahrain,
117,Kazakhstan,
118,Jordan,
119,Malawi,
120,Tajikistan,
121,Chinese Taipei,
122,Thailand,
123,Rwanda,
124,Yemen,
124,Antigua and Barbuda,
126,Azerbaijan,
126,Sudan,
128,Turkmenistan,
129,Togo,
130,St Kitts and Nevis,
131,Swaziland,
132,Andorra,
133,New Zealand,
133,Lithuania,
135,Myanmar,
136,Nicaragua,
137,Tanzania,
138,Angola,
139,Latvia,
140,Afghanistan,
141,Guatemala,
142,Botswana,
142,Comoros,
144,Hong Kong,
145,Equatorial Guinea,
146,Ethiopia,
146,Burundi,
148,Maldives,
149,Dominican Republic,
150,Lesotho,
151,Liberia,
152,Kosovo,
153,Solomon Islands,
154,Suriname,
155,Vanuatu,
156,New Caledonia,
157,South Sudan,
158,Barbados,
159,Puerto Rico,
160,Kuwait,
161,Mauritius,
162,Tahiti,
163,Grenada,
164,Indonesia,
164,Guyana,
164,Nepal,
167,Fiji,
168,Chad,
169,Belize,
170,Cambodia,
171,Malaysia,
172,Singapore,
173,Moldova,
174,St Lucia,
175,Gambia,
176,St Vincent and the Grenadines,
177,Dominica,
178,Bermuda,
179,Laos,
180,Papua New Guinea,
181,Liechtenstein,
182,Cuba,
182,Aruba,
184,Bhutan,
185,Malta,
186,Macau,
187,São Tomé e Príncipe,
188,Mongolia,
189,Guam,
190,Timor Leste,
191,American Samoa,
191,Cook Islands,
191,Samoa,
194,Seychelles,
195,Brunei Darussalam,
196,Gibraltar,
197,Bangladesh,
198,Djibouti,
199,US Virgin Islands,
200,Montserrat,
200,Sri Lanka,
202,Turks & Caicos Islands,
203,Pakistan,
204,Cayman Islands,
205,San Marino,
206,British Virgin Islands,
207,Anguilla,
207,Bahamas,
207,Eritrea,
207,Somalia,
207,Tonga,
